Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
*Boombox Ipod Classic,1,1,1,0,1
*USB Office Mirror Ball,2,2,2,0,2
10 COLOUR SPACEBOY PEN,327,327,327,250,327
12 COLOURED PARTY BALLOONS,170,170,170,146,170
12 DAISY PEGS IN WOOD BOX,84,84,84,69,84
12 EGG HOUSE PAINTED WOOD,100,100,100,65,100
12 HANGING EGGS HAND PAINTED,10,10,10,10,10
12 IVORY ROSE PEG PLACE SETTINGS,150,150,150,93,150
12 MESSAGE CARDS WITH ENVELOPES,265,265,265,200,265
12 PENCIL SMALL TUBE WOODLAND,372,372,372,293,372
12 PENCILS SMALL TUBE RED RETROSPOT,374,374,374,319,374
12 PENCILS SMALL TUBE SKULL,370,370,370,306,370
12 PENCILS TALL TUBE POSY,180,180,180,177,180
12 PENCILS TALL TUBE RED RETROSPOT,287,287,287,253,287
12 PENCILS TALL TUBE SKULLS,266,266,266,225,266
12 PENCILS TALL TUBE WOODLAND,256,256,256,215,256
12 PINK HEN+CHICKS IN BASKET,15,15,15,15,15
12 PINK ROSE PEG PLACE SETTINGS,22,22,22,22,22
12 RED ROSE PEG PLACE SETTINGS,116,116,116,86,116
15 PINK FLUFFY CHICKS IN BOX,7,7,7,7,7
15CM CHRISTMAS GLASS BALL 20 LIGHTS,285,285,285,238,285
16 PC CUTLERY SET PANTRY DESIGN,1,1,1,1,1
16 PIECE CUTLERY SET PANTRY DESIGN,71,71,71,48,71
18PC WOODEN CUTLERY SET DISPOSABLE,43,43,43,24,43
2 DAISIES HAIR COMB,13,13,13,2,13
2 PICTURE BOOK EGGS EASTER BUNNY,36,36,36,19,36
2 PICTURE BOOK EGGS EASTER CHICKS,26,26,26,20,26
2 PICTURE BOOK EGGS EASTER DUCKS,25,25,25,16,25
20 DOLLY PEGS RETROSPOT,237,237,237,195,237
200 BENDY SKULL STRAWS,57,57,57,43,57
200 RED + WHITE BENDY STRAWS,175,175,175,122,175
20713,1,1,1,0,1
20713 wrongly marked,1,1,1,0,1
3 BIRDS CANVAS SCREEN,2,2,2,2,2
3 BLACK CATS W HEARTS BLANK CARD,3,3,3,3,3
3 DRAWER ANTIQUE WHITE WOOD CABINET,213,213,213,196,213
3 GARDENIA MORRIS BOXED CANDLES,89,89,89,79,89
3 HEARTS HANGING DECORATION RUSTIC,323,323,323,278,323
3 HOOK HANGER MAGIC GARDEN,170,170,170,105,170
3 HOOK PHOTO SHELF ANTIQUE WHITE,403,403,403,325,403
3 PIECE SPACEBOY COOKIE CUTTER SET,391,391,391,309,391
3 PINK HEN+CHICKS IN BASKET,6,6,6,6,6
3 RAFFIA RIBBONS 50'S CHRISTMAS,202,202,202,137,202
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,100,100,100,45,100
3 ROSE MORRIS BOXED CANDLES,174,174,174,147,174
3 STRIPEY MICE FELTCRAFT,483,483,483,417,483
3 TIER CAKE TIN GREEN AND CREAM,214,214,214,149,214
3 TIER CAKE TIN RED AND CREAM,182,182,182,150,182
3 TIER SWEETHEART GARDEN SHELF,44,44,44,44,44
3 TRADITIONAL COOKIE CUTTERS  SET,4,4,4,4,4
3 TRADITIONAl BISCUIT CUTTERS  SET,240,240,240,209,240
3 WHITE CHOC MORRIS BOXED CANDLES,125,125,125,94,125
3 WICK CHRISTMAS BRIAR CANDLE,3,3,3,2,3
36 DOILIES DOLLY GIRL,92,92,92,76,92
36 DOILIES VINTAGE CHRISTMAS,181,181,181,164,181
36 FOIL HEART CAKE CASES,209,209,209,181,209
36 FOIL STAR CAKE CASES,140,140,140,112,140
36 PENCILS TUBE POSY,21,21,21,12,21
36 PENCILS TUBE RED RETROSPOT,345,345,345,250,345
36 PENCILS TUBE SKULLS,270,270,270,186,270
36 PENCILS TUBE WOODLAND,192,192,192,149,192
