StockCode,Description,Product Health,Month index,Adjusted Product Index,Date of Last Purchase,Last Purchase Quantity, Price 
23843,"PAPER CRAFT , LITTLE BIRDIE",284.594,24144,284.594,December 2011,80995, $2.08 
22197,SMALL POPCORN HOLDER,67.183,24144,67.183,December 2011,6217, $0.87 
23084,RABBIT NIGHT LIGHT,59.020,24144,59.020,December 2011,4311, $2.24 
20971,PINK BLUE FELT CRAFT TRINKET BOX,57.318,24144,57.318,December 2011,380, $1.21 
22273,FELTCRAFT DOLL MOLLY,44.649,24144,44.649,December 2011,66, $3.21 
23582,VINTAGE DOILY JUMBO BAG RED,44.611,24144,44.611,December 2011,2101, $1.83 
22147,FELTCRAFT BUTTERFLY HEARTS,43.697,24144,43.697,December 2011,33, $1.45 
21181,PLEASE ONE PERSON METAL SIGN,37.624,24144,37.624,December 2011,711, $2.13 
22413,METAL SIGN TAKE IT OR LEAVE IT,37.609,24144,37.609,December 2011,1451, $2.76 
22178,VICTORIAN GLASS HANGING T-LIGHT,36.783,24144,36.783,December 2011,990, $1.90 
23552,BICYCLE PUNCTURE REPAIR KIT,35.199,24144,35.199,December 2011,1240, $2.09 
21787,RAIN PONCHO RETROSPOT,34.300,24144,34.300,December 2011,1249, $0.67 
21137,BLACK RECORD COVER FRAME,33.965,24144,33.965,December 2011,1574, $3.55 
23498,CLASSIC BICYCLE CLIPS,33.541,24144,33.541,December 2011,1126, $1.47 
23307,SET OF 60 PANTRY DESIGN CAKE CASES,32.888,24144,32.888,December 2011,611, $0.51 
85152,HAND OVER THE CHOCOLATE   SIGN,32.367,24144,32.367,December 2011,894, $2.01 
23497,CLASSIC CHROME BICYCLE BELL,31.561,24144,31.561,December 2011,1042, $1.44 
20668,DISCO BALL CHRISTMAS DECORATION,31.241,24144,31.241,December 2011,1498, $0.12 
22961,JAM MAKING SET PRINTED,29.324,24144,29.324,December 2011,1016, $1.70 
22386,JUMBO BAG PINK POLKADOT,28.822,24144,28.822,December 2011,459, $2.02 
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,31.807,24143,28.627,November 2011,1123, $0.35 
21705,BAG 500g SWIRLY MARBLES,28.432,24144,28.432,December 2011,834, $0.43 
20975,12 PENCILS SMALL TUBE RED RETROSPOT,27.403,24144,27.403,December 2011,301, $0.65 
23543,KEEP CALM WALL ART,27.401,24144,27.401,December 2011,724, $4.21 
22727,ALARM CLOCK BAKELIKE RED,27.131,24144,27.131,December 2011,1060, $3.60 
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,26.887,24144,26.887,December 2011,755, $0.59 
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,25.385,24144,25.385,December 2011,624, $0.19 
23326,HANGING MINI COLOURED BOTTLES,25.328,24144,25.328,December 2011,440, $0.57 
16045,POPART WOODEN PENCILS ASST,25.298,24144,25.298,December 2011,200, $0.04 
23233,WRAP POPPIES  DESIGN,25.050,24144,25.050,December 2011,25, $0.42 
23461,SWEETHEART BIRD HOUSE,25.024,24144,25.024,December 2011,645, $3.38 
22476,EMPIRE UNION JACK TV DINNER TRAY,24.976,24144,24.976,December 2011,628, $1.96 
21811,CHRISTMAS HANGING HEART WITH BELL,27.734,24143,24.961,November 2011,840, $0.43 
82600,NO SINGING METAL SIGN,24.933,24144,24.933,December 2011,394, $2.20 
22355,CHARLOTTE BAG SUKI DESIGN,24.785,24144,24.785,December 2011,1131, $2.08 
